OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
63679,WS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WS,1,0,0,Waterfront Service
63680,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63681,LIA,East Boston Neighborhood,3A-3C,53,Miscellaneous,East Boston Neighborhood LIA,2,0,0,Logan International Airport
63682,MFR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR,1,0,0,Multifamily Residential
63683,CE,East Boston Neighborhood,3A-3C,53,Miscellaneous,East Boston Neighborhood CE,1,0,0,Corridor Enhancement
63684,MFR/LS,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63685,2F-5000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-5000,0.6,0,0,Two-Family Residential
63686,WR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood WR,1,0,0,Waterfront Residential
63687,WM,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood WM,1,0,0,Waterfront Manufacturing
63688,OS-UW,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UW,,0,0,Urban Wild Open Space
63689,2F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-2000,0.8,0,0,Two-Family Residential
63690,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63691,OS-CM,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-CM,,0,0,Cemetery Open Space
63692,2F-5000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-5000,0.6,0,0,Two-Family Residential
63693,2F-4000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-4000,0.8,0,0,Two-Family Residential
63694,OS-CM,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-CM,,0,0,Cemetery Open Space
63695,2F-4000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-4000,0.8,0,0,Two-Family Residential
63696,NS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood NS,1,0,0,Neighborhood Shopping
63697,3F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 3F-2000,1,0,0,Three-Family Residential
63698,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63699,MCLELLAN HIGHWAY EDA,East Boston Neighborhood,3A-3C,53,Mixed Use,East Boston Neighborhood MCLELLAN HIGHWAY EDA,2,0,0,Economic Development Area
63700,UPPER CHELSEA CREEK WM,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood UPPER CHELSEA CREEK WM,2,0,0,Waterfront Manufacturing
63701,SUFFOLK DOWNS  EDA,East Boston Neighborhood,3A-3C,53,Mixed Use,East Boston Neighborhood SUFFOLK DOWNS  EDA,2,0,0,Economic Development Area
63702,CPS,East Boston Neighborhood,3A-3C,53,Miscellaneous,East Boston Neighborhood CPS,0.5,0,0,Conservation Protection
63703,MFR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR,1,0,0,Multifamily Residential
63704,1F-5000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 1F-5000,0.5,0,0,One-Family Residential
63705,1F-7000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 1F-7000,0.5,0,0,One-Family Residential
63706,2F-7000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-7000,0.6,0,0,Two-Family Residential
63707,1F-4000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 1F-4000,0.5,0,0,One-Family Residential
63708,2F-7000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-7000,0.6,0,0,Two-Family Residential
63709,2F-4000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-4000,0.8,0,0,Two-Family Residential
63710,3F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 3F-2000,1,0,0,Three-Family Residential
63711,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63712,NS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood NS,1,0,0,Neighborhood Shopping
63713,OS-UP,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63714,MFR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR,1,0,0,Multifamily Residential
63715,WC,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WC,3.3,0,0,Waterfront Commercial
63716,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63717,3F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 3F-2000,1,0,0,Three-Family Residential
63718,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63719,WC,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WC,3.3,0,0,Waterfront Commercial
63720,OS-UP,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63721,CC,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood CC,1,0,0,Community Commercial
63722,WCF,East Boston Neighborhood,3A-3C,53,Comm/Instit,East Boston Neighborhood WCF,1,0,0,Waterfront Community Facilities
63723,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63724,2F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-2000,0.8,0,0,Two-Family Residential
63725,WR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood WR,1,0,0,Waterfront Residential
63726,CF,East Boston Neighborhood,3A-3C,53,Comm/Instit,East Boston Neighborhood CF,1,0,0,Community Facilities
63727,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63728,MFR/LS,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63729,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63730,NS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood NS,1,0,0,Neighborhood Shopping
63731,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63732,WM,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood WM,1,0,0,Waterfront Manufacturing
63733,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63734,OS-G,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-G,,0,0,Community Garden Open Space
63735,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63736,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63737,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63738,WS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WS,1,0,0,Waterfront Service
63739,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63740,OS-UW,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UW,,0,0,Urban Wild Open Space
63741,OS-WA,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-WA,,0,0,Waterfront Access Open Space
63742,WS,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WS,1,0,0,Waterfront Service
63743,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63744,WC,East Boston Neighborhood,3A-3C,53,Business,East Boston Neighborhood WC,3.3,0,0,Waterfront Commercial
63745,3F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 3F-2000,1,0,0,Three-Family Residential
63746,OS-UW,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UW,,0,0,Urban Wild Open Space
63747,WM,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood WM,1,0,0,Waterfront Manufacturing
63748,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63749,LI,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood LI,1,0,0,Local Industrial
63750,WM,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood WM,1,0,0,Waterfront Manufacturing
63751,MER,East Boston Neighborhood,3A-3C,53,Industrial,East Boston Neighborhood MER,2,0,0,Maritime Economy Reserve
63752,OS-P,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-P,,0,0,Parkland Open Space
63753,OS-UW,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-UW,,0,0,Urban Wild Open Space
63754,OS-RC,East Boston Neighborhood,3A-3C,53,Open Space,East Boston Neighborhood OS-RC,,0,0,Recreation Open Space
63755,2F-3000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 2F-3000,0.8,0,0,Two-Family Residential
63756,3F-2000,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood 3F-2000,1,0,0,Three-Family Residential
63757,MFR,East Boston Neighborhood,3A-3C,53,Residential,East Boston Neighborhood MFR,1,0,0,Multifamily Residential
63758,,Newmarket Industrial Commercial Neighborhood District,6E,90,Mixed Use,Newmarket Industrial Commercial Neighborhood District ,,0,0,Industrial Commercial
63759,CC-3,Allston/Brighton Neighborhood,7A-7D,51,Business,Allston/Brighton Neighborhood NS-1,3,0,0,Community Commercial
63760,BROAD STREET PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets BROAD STREET PROTECTION AREA,4,0,0,Protection Area
63761,INDIA STREET RESTRICTED GROWTH AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets INDIA STREET RESTRICTED GROWTH AREA,7,0,0,Restricted Growth Area
63762,WHARF STREET RESTRICTED GROWTH AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets WHARF STREET RESTRICTED GROWTH AREA,12,0,0,Restricted Growth Area
63763,3F-5000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
63764,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
63765,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
63766,GROVE HALL IDA,Roxbury Neighborhood,6A-6C,50,Industrial,Roxbury Neighborhood GROVE HALL IDA,2,0,0,Industrial Development Area
63767,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63768,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63769,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
63770,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63771,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63772,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
63773,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63774,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63775,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63776,GROVE HALL NS,Roxbury Neighborhood,6A-6C,50,Business,Roxbury Neighborhood GROVE HALL NS,1,0,0,Neighborhood Shopping
63777,3F-5000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
63778,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63779,2F,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 2F,0.6,0,0,Two-Family Residential
63780,OS-UW,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
63781,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
63782,3F-5000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
63783,3F-6000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-6000,0.8,0,0,Three-Family Residential
63784,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
63785,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63786,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63787,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
63788,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63789,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63790,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
63791,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
63792,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63793,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
63794,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
63795,WASHINGTON PARK MALL NS,Roxbury Neighborhood,6A-6C,50,Business,Roxbury Neighborhood WASHINGTON PARK MALL NS,1,0,0,Neighborhood Shopping
63796,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
63797,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63798,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
63799,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
63800,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
63801,WARREN STREET CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood WARREN STREET CF,2,0,0,Community Facilities
63802,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
63803,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
63804,OS-UW,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-UW,,0,0,Urban Wild Open Space
63805,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63806,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63807,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63808,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63809,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63810,3F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-6000,0.4,0,0,Three-Family Residential
63811,OS-CM,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-CM,,0,0,Cemetery Open Space
63812,OS-G,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-G,,0,0,Community Garden Open Space
63813,1F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-6000,0.5,0,0,One-Family Residential
63814,1F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-6000,0.5,0,0,One-Family Residential
63815,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63816,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63817,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63818,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63819,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63820,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63821,OS-UW,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-UW,,0,0,Urban Wild Open Space
63822,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63823,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63824,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63825,RH,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood RH,1,0,0,Row House Residential
63826,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63827,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63828,RH,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood RH,1,0,0,Row House Residential
63829,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63830,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63831,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63832,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63833,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63834,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63835,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63836,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63837,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63838,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63839,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63840,1F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-5000,0.5,0,0,One-Family Residential
63841,3F-D-2000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-2000,1.3,0,0,Three-Family Residential
63842,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63843,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63844,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63845,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63846,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63847,LI,Dorchester Neighborhood,5A-5E,65,Industrial,Dorchester Neighborhood LI,2,0,0,Local Industrial
63848,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63849,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63850,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63851,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63852,RH,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood RH,1,0,0,Row House Residential
63853,RH,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood RH,1,0,0,Row House Residential
63854,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63855,RH,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood RH,1,0,0,Row House Residential
63856,OS-G,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-G,,0,0,Community Garden Open Space
63857,NS,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood NS,1,0,0,Neighborhood Shopping
63858,LI,Dorchester Neighborhood,5A-5E,65,Industrial,Dorchester Neighborhood LI,2,0,0,Local Industrial
63859,3F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-6000,0.4,0,0,Three-Family Residential
63860,NS,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood NS,1,0,0,Neighborhood Shopping
63861,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63862,3F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-6000,0.4,0,0,Three-Family Residential
63863,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63864,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63865,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63866,OS-G,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-G,,0,0,Community Garden Open Space
63867,NS,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood NS,1,0,0,Neighborhood Shopping
63868,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63869,LI,Dorchester Neighborhood,5A-5E,65,Industrial,Dorchester Neighborhood LI,2,0,0,Local Industrial
63870,OS-G,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-G,,0,0,Community Garden Open Space
63871,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
63872,1F-7000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-7000,0.4,0,0,One-Family Residential
63873,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63874,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
63875,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
63876,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63877,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63878,2F-6000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-6000,0.4,0,0,Two-Family Residential
63879,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
63880,OS-CM,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-CM,,0,0,Cemetery Open Space
63881,OS-UW,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-UW,,0,0,Urban Wild Open Space
63882,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63883,1F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-5000,0.5,0,0,One-Family Residential
63884,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63885,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63886,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63887,MFR/LS,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63888,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63889,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63890,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
63891,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
63892,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
