OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62774,DUDLEY SQUARE EDA,Roxbury Neighborhood,6A-6C,50,Mixed Use,Roxbury Neighborhood DUDLEY SQUARE EDA,2,0,0,Economic Development Area
62775,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62776,OS-UW,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62777,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
62778,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62779,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62780,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62781,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62782,ST PATRICK NS,Roxbury Neighborhood,6A-6C,50,Business,Roxbury Neighborhood ST PATRICK NS,1,0,0,Neighborhood Shopping
62783,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
62784,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62785,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
62786,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62787,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62788,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62789,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62790,OS-UW,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62791,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62792,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62793,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62794,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62795,OS-UW,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62796,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62797,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62798,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62799,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62800,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62801,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62802,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62803,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62804,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62805,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62806,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62807,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62808,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62809,OS-UW,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-UW,,0,0,Urban Wild Open Space
62810,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62811,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62812,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62813,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62814,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62815,OS-CM,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-CM,,0,0,Cemetery Open Space
62816,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62817,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62818,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62819,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62820,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
